COD_PROV,Provincia,Comunidad autónoma,LONGITUD_ETRS89,LATITUD_ETRS89,Valor
1,Álava,País Vasco,-2.67275685,42.85058789,333940
2,Albacete,Castilla-La Mancha,-1.85574745,38.99588053,388270
3,Alicante,Comunidad Valenciana,-0.4831832,38.34548705,1879888
4,Almería,Andalucía,-2.46413188,36.83892362,727945
5,Ávila,Castilla y León,-4.69771277,40.65586958,157664
6,Badajoz,Extremadura,-6.97099704,38.87874339,672137
7,Baleares,Islas Baleares,2.65181698,39.57114699,1171543
8,Barcelona,Cataluña,2.17634927,41.38424664,5743402
9,Burgos,Castilla y León,-3.70419805,42.34113004,357650
10,Cáceres,Extremadura,-6.37121092,39.47316762,391850
11,Cádiz,Andalucía,-6.28414575,36.52171152,1244049
12,Castellón,Comunidad Valenciana,-0.03688142,39.98640809,585590
13,Ciudad Real,Castilla-La Mancha,-3.93131981,38.98651781,495045
14,Córdoba,Andalucía,-4.78032455,37.87954225,781451
15,La  Coruña,Galicia,-8.395501936,43.37126587,1121815
16,Cuenca,Castilla-La Mancha,-2.13152306,40.07653762,196139
17,Gerona,Cataluña,2.82411899,41.98186075,781788
18,Granada,Andalucía,-3.60001883,37.17641932,919168
19,Guadalajara,Castilla-La Mancha,-3.16210273,40.63435548,261995
20,Guipúzcoa,País Vasco,-1.98191785,43.31717158,727121
21,Huelva,Andalucía,-6.95040588,37.26004113,524278
22,Huesca,Aragón,-0.40842276,42.14062739,222687
23,Jaén,Andalucía,-3.7903594,37.7651913,631381
24,León,Castilla y León,-5.56707631,42.59912097,456439
25,Lérida,Cataluña,0.62061934,41.61527355,438517
26,La Rioja,La Rioja,-2.44565538,42.46644945,319914
27,Lugo,Galicia,-7.555755439,43.00988951,327946
28,Madrid,Comunidad de Madrid,-3.68760088,40.40841191,6779888
29,Málaga,Andalucía,-4.41997511,36.72034267,1685920
30,Murcia,Región de Murcia,-1.1285408,37.98436361,1511251
31,Navarra,Navarra,-1.6451528,42.814102,661197
32,Orense,Galicia,-7.863836656,42.33553117,306650
33,Asturias,Principado de Asturias,-5.84372206,43.36232165,1018784
34,Palencia,Castilla y León,-4.53460106,42.0078373,160321
35,Las  Palmas,Canarias,-15.41336841,28.09937855,NA
36,Pontevedra,Galicia,-8.643672092,42.43158576,945408
37,Salamanca,Castilla y León,-5.66538084,40.96736822,329245
38,Santa Cruz de  Tenerife,Canarias,-16.24720629,28.46285408,1044887
39,Cantabria,Cantabria,-3.809722222,43.46216667,582905
40,Segovia,Castilla y León,-4.12524116,40.9498703,153478
41,Sevilla,Andalucía,-5.99251368,37.38620512,1950219
42,Soria,Castilla y León,-2.46624798,41.76327912,88884
43,Tarragona,Cataluña,1.2584219,41.11910287,816772
44,Teruel,Aragón,-1.10927177,40.34412951,134176
45,Toledo,Castilla-La Mancha,-4.024974933,39.8565219,703772
46,ValenciaValencia,Comunidad Valenciana,-0.37565717,39.47534441,2591875
47,Valladolid,Castilla y León,-4.72334924,41.65232777,520649
48,Vizcaya,País Vasco,-2.92390606,43.25721957,1159443
49,Zamora,Castilla y León,-5.75494831,41.49913956,170588
50,Zaragoza,Aragón,-0.87928652,41.65645655,972528
51,Ceuta,Ceuta,-5.30675127,35.88810209,84202
52,Melilla,Melilla,-2.937088836,35.29220967,87076
